num_nodes,k,sigma_sq,scales
4,L1,0.5,0.39369999999999999,0,20.439399999999999,20.530200000000001,20.177,20.296600000000002,20.753699999999998
4,L1,0.5,1.0059,0,18.022200000000002,12.726599999999999,15.571300000000001,18.175999999999998,25.614899999999999
4,SCAD-L1,0.5,1.3166,3.7,29.696100000000001,22.323,25.5656,36.133299999999998,34.762500000000003
4,SCAD-L1,0.5,1.0771999999999999,3.7,27.939900000000002,16.861699999999999,25.372900000000001,35.2303,34.294600000000003
4,MCP-L1,0.5,0.60940000000000005,1.4,29.383500000000002,22.166699999999999,25.412299999999998,35.674599999999998,34.280500000000004
4,MCP-L1,0.5,0.34560000000000002,1.4,27.388000000000002,21.965900000000001,24.4939,30.1967,32.895699999999998
5,L1,0.5,0.4955,0,30.642299999999999,23.046800000000001,25.900500000000001,33.9422,35.850499999999997,34.471699999999998
5,L1,0.5,1.0037,0,22.584,12.7271,15.571899999999999,18.170400000000001,25.6157,40.834899999999998
5,SCAD-L1,0.5,2.7930999999999999,3.7,33.454799999999999,22.217400000000001,25.4559,36.038600000000002,34.678800000000003,48.883499999999998
5,SCAD-L1,0.5,1.0753999999999999,3.7,32.088099999999997,16.862100000000002,25.374099999999999,35.229199999999999,34.294800000000002,48.680300000000003
5,MCP-L1,0.5,1.2129000000000001,1.4,33.431199999999997,22.222200000000001,25.4282,36.039000000000001,34.627000000000002,48.8399
5,MCP-L1,0.5,0.34670000000000001,1.4,31.620100000000001,21.9682,24.497399999999999,30.215299999999999,32.899799999999999,48.520000000000003
6,L1,0.5,0.48259999999999997,0,33.397300000000001,22.702500000000001,25.8111,36.223300000000002,36.930900000000001,39.7378,38.977899999999998
6,L1,0.5,1.0046999999999999,0,26.264600000000002,12.726900000000001,15.5716,18.176400000000001,25.615400000000001,40.834699999999998,44.662700000000001
6,SCAD-L1,0.5,0.62450000000000006,3.7,37.8889,22.183700000000002,25.413699999999999,35.939100000000003,34.506599999999999,48.675199999999997,60.615299999999998
6,SCAD-L1,0.5,1.0764,3.7,36.765099999999997,16.861899999999999,25.374600000000001,35.229999999999997,34.294699999999999,48.680199999999999,60.149099999999997
6,MCP-L1,0.5,0.62229999999999996,1.4,37.8889,22.183599999999998,25.413699999999999,35.938200000000002,34.506399999999999,48.6751,60.616599999999998
6,MCP-L1,0.5,0.34379999999999999,1.4,36.297800000000002,21.963699999999999,24.488299999999999,30.1676,32.709499999999998,48.519300000000001,59.938200000000002
7,L1,0.5,0.41489999999999999,0,31.341000000000001,22.742899999999999,25.830500000000001,36.083100000000002,36.978200000000001,39.1081,38.368000000000002,20.276599999999998
7,L1,0.5,0.98409999999999997,0,24.1114,12.7317,15.569800000000001,18.176100000000002,25.6128,40.833399999999997,44.662199999999999,11.194000000000001
7,SCAD-L1,0.5,0.57379999999999998,3.7,35.381100000000004,22.1831,25.4129,35.936100000000003,34.503300000000003,48.668900000000001,60.677700000000002,20.285599999999999
7,SCAD-L1,0.5,1.0757000000000001,3.7,33.641800000000003,16.8627,25.374199999999998,35.229500000000002,34.294699999999999,48.680199999999999,60.148600000000002,14.902900000000001
7,MCP-L1,0.5,0.57269999999999999,1.4,35.381100000000004,22.1831,25.4129,35.935600000000001,34.5032,48.668900000000001,60.678400000000003,20.285699999999999
7,MCP-L1,0.5,0.34439999999999998,1.4,33.250399999999999,21.964700000000001,24.490100000000002,30.178100000000001,32.711500000000001,48.519399999999997,59.940300000000001,14.948700000000001
8,L1,0.5,0.35870000000000002,0,28.563099999999999,22.7698,25.850999999999999,35.938400000000001,36.989600000000003,38.559600000000003,37.838900000000002,20.279399999999999,10.277799999999999
8,L1,0.5,0.99880000000000002,0,21.0854,12.728300000000001,15.573,18.171900000000001,25.6173,40.831200000000003,44.662199999999999,11.195399999999999,-0.096100000000000005
8,SCAD-L1,0.5,0.53469999999999995,3.7,32.2577,22.1829,25.412099999999999,35.933799999999998,34.500100000000003,48.663200000000003,60.735999999999997,20.285599999999999,10.3477
8,SCAD-L1,0.5,1.0728,3.7,29.416799999999999,16.8627,25.365100000000002,35.228299999999997,34.295099999999998,48.680399999999999,60.146299999999997,14.914199999999999,-0.1573
8,MCP-L1,0.5,0.53700000000000003,1.4,32.2577,22.183,25.412099999999999,35.934899999999999,34.500399999999999,48.6633,60.734299999999998,20.285499999999999,10.347899999999999
8,MCP-L1,0.5,0.34620000000000001,1.4,29.097999999999999,21.967300000000002,24.496099999999998,30.207699999999999,32.898200000000003,48.519599999999997,59.945999999999998,14.949400000000001,-0.20050000000000001
9,L1,0.5,0.4491,0,29.7805,22.725300000000001,25.8538,36.056699999999999,36.985500000000002,38.930199999999999,38.1965,20.264399999999998,10.2776,38.734999999999999
9,L1,0.5,1.0067999999999999,0,23.222100000000001,12.7263,15.571099999999999,18.175799999999999,25.614599999999999,40.834400000000002,44.662599999999998,11.195,-0.097299999999999998,40.316099999999999
9,SCAD-L1,0.5,0.52649999999999997,3.7,35.206600000000002,22.184999999999999,25.412099999999999,35.945700000000002,34.505000000000003,48.669499999999999,60.668900000000001,20.284700000000001,10.3497,58.838900000000002
9,SCAD-L1,0.5,1.071,3.7,32.575899999999997,16.8628,25.359200000000001,35.227899999999998,34.295200000000001,48.680700000000002,60.144599999999997,14.9137,-0.157,57.855899999999998
9,MCP-L1,0.5,0.53280000000000005,1.4,35.206600000000002,22.185500000000001,25.412099999999999,35.948399999999999,34.505800000000001,48.670099999999998,60.659599999999998,20.284400000000002,10.350099999999999,58.843699999999998
9,MCP-L1,0.5,0.41560000000000002,1.4,31.7897,16.842099999999999,25.226600000000001,33.374699999999997,33.276400000000002,48.569800000000001,60.037700000000001,14.9513,-0.20780000000000001,54.036499999999997
